SCENARIO_seated_noavatar
Timestamp,MovementDeltaX,MovementDeltaY,MovementDeltaZ,TotalMovementDelta
1/8/2025 5:35:19 PM,0,0,0,0
1/8/2025 5:35:21 PM,0.02997398,1.595353,-0.4010005,1.645251
1/8/2025 5:35:22 PM,-0.01411629,-0.03821182,-0.005907059,0.04116195
1/8/2025 5:35:23 PM,-0.07096434,-0.02350986,0.0479598,0.08881888
1/8/2025 5:35:24 PM,0.1593318,0.01268744,0.004254818,0.1598928
1/8/2025 5:35:25 PM,-0.04363871,0.02184117,-0.04597235,0.06704349
1/8/2025 5:35:26 PM,-0.007071495,0.008487821,-0.0386219,0.04017089
1/8/2025 5:35:27 PM,0.05685997,-0.001340866,0.1757131,0.1846887
1/8/2025 5:35:28 PM,-0.03927708,-0.06699347,0.2850723,0.2954607
1/8/2025 5:35:29 PM,-0.05811453,-0.03521538,-0.03479815,0.07634351
1/8/2025 5:35:30 PM,0.08475828,0.09043789,-0.03377962,0.1284681
1/8/2025 5:35:31 PM,-0.1205025,-0.1059648,0.0522728,0.1687656
1/8/2025 5:35:32 PM,0.06804371,-0.3192866,0.1227798,0.3487818
1/8/2025 5:35:33 PM,0.07897997,-0.06527698,-0.191103,0.2168393
1/8/2025 5:35:34 PM,0.001013279,0.153838,-0.2585831,0.300886
1/8/2025 5:35:35 PM,0.03847408,-0.09784007,0.006748199,0.1053493
1/8/2025 5:35:36 PM,-0.06552696,0.07302749,-0.01960039,0.1000548
1/8/2025 5:35:37 PM,0.04523993,-0.081213,0.04438639,0.1030163
1/8/2025 5:35:38 PM,0.06904697,0.07113111,-0.04322767,0.1081469
1/8/2025 5:35:39 PM,-0.1230807,0.02719665,-0.02762938,0.1290423
1/8/2025 5:35:40 PM,0.01866484,-0.09850526,0.03665352,0.106748
1/8/2025 5:35:41 PM,0.02913761,-0.03889084,0.03421926,0.05943447
1/8/2025 5:35:42 PM,0.1228571,-0.04140949,0.1151652,0.1734118
1/8/2025 5:35:43 PM,-0.02256012,0.07267725,-0.1053848,0.1299881
1/8/2025 5:35:44 PM,-0.1967421,0.05074406,-0.1077909,0.2300028
1/8/2025 5:35:45 PM,0.0426898,0.06923974,0.04074192,0.09097508
1/8/2025 5:35:46 PM,0.09003258,0.0229063,0.01020336,0.09345947
1/8/2025 5:35:47 PM,0.08422661,-0.03959262,-0.06277704,0.1122615
1/8/2025 5:35:48 PM,-0.02918148,-0.02157414,0.06391001,0.07349484
1/8/2025 5:35:49 PM,-0.1164017,0.03743434,0.01453733,0.1231341
1/8/2025 5:35:50 PM,-0.0008077621,0.003515959,-0.006128788,0.007111715
1/8/2025 5:35:51 PM,0.03842306,0.003931284,0.02113104,0.04402621
1/8/2025 5:35:52 PM,-0.03289747,0.006927729,0.02744484,0.0433988
1/8/2025 5:35:53 PM,0.05292034,-0.03653121,0.02279806,0.06822641
1/8/2025 5:35:54 PM,-0.1181026,-0.05781841,-0.01599312,0.1324649
1/8/2025 5:35:55 PM,0.01450396,0.07224953,-0.01415634,0.0750384
1/8/2025 5:35:56 PM,0.0384531,0.02185488,-0.02385998,0.0502551
1/8/2025 5:35:57 PM,0.07136154,-0.0009195805,-0.001840591,0.0713912
1/8/2025 5:35:58 PM,-0.09545231,-0.0005763769,-0.005299091,0.09560103
1/8/2025 5:35:59 PM,-0.01080227,-0.03722429,0.01127958,0.04036788
1/8/2025 5:36:00 PM,-0.03477526,-0.01549065,0.04096222,0.05592121
1/8/2025 5:36:01 PM,0.08951664,0.0007213354,0.05410671,0.1046006
1/8/2025 5:36:02 PM,0.06947613,-0.06436002,-0.003655434,0.09477609
1/8/2025 5:36:03 PM,0.04699945,-0.01897454,-0.01135731,0.05194199
1/8/2025 5:36:04 PM,-0.05757427,-0.006947875,0.02239561,0.06216617
1/8/2025 5:36:05 PM,-0.051651,0.02125895,-0.03042316,0.06360297
TimerStopped,1/8/2025 5:36:05 PM,TimeLeft:75s
TimerStopped,1/8/2025 5:36:06 PM,TimeLeft:74s
SCENARIO_seated_avatar
Timestamp,MovementDeltaX,MovementDeltaY,MovementDeltaZ,TotalMovementDelta
1/8/2025 5:36:08 PM,0,0,0,0
1/8/2025 5:36:09 PM,0.1165509,1.198433,-0.3431993,1.252043
1/8/2025 5:36:10 PM,0.009085655,0.01947987,0.01742363,0.02766943
1/8/2025 5:36:11 PM,-0.002705574,0.01164329,-0.01754284,0.02122823
1/8/2025 5:36:12 PM,0.02484226,-0.03544831,0.008168697,0.04405052
1/8/2025 5:36:13 PM,-0.04013681,-0.03989339,0.01610279,0.05883661
1/8/2025 5:36:14 PM,0.03439808,0.09924173,-0.04681826,0.1149961
1/8/2025 5:36:15 PM,0.01125097,-0.04216313,0.01676941,0.04674962
1/8/2025 5:36:16 PM,-0.02750587,-0.002385259,0.007863998,0.02870723
1/8/2025 5:36:17 PM,0.012012,0.003992558,0.002767086,0.01295707
1/8/2025 5:36:18 PM,0.05174541,-0.01805747,0.02300262,0.0594372
1/8/2025 5:36:19 PM,-0.01902056,-0.001787543,0.003910542,0.01950049
1/8/2025 5:36:20 PM,-0.05489635,0.01423788,-0.007264614,0.05717606
1/8/2025 5:36:21 PM,-0.004943371,-0.01032543,0.005352497,0.01263727
1/8/2025 5:36:22 PM,0.04016161,-0.005136132,0.01651192,0.04372617
1/8/2025 5:36:23 PM,0.003332615,-0.002938509,0.002920151,0.005316807
1/8/2025 5:36:24 PM,0.009737968,0.0492624,-0.01492882,0.0523878
1/8/2025 5:36:25 PM,-0.0267272,-0.004766822,0.02212238,0.03502093
1/8/2025 5:36:26 PM,-0.02871323,-0.004828691,0.00123024,0.02914239
1/8/2025 5:36:27 PM,-0.03328133,0.0007376671,-0.004739761,0.03362523
1/8/2025 5:36:28 PM,0.04078388,0.009178638,-0.002429485,0.04187451
1/8/2025 5:36:29 PM,0.08557892,-0.002433896,0.0004591942,0.08561476
1/8/2025 5:36:30 PM,-0.03150415,0.009156346,-0.007870674,0.03373867
TimerStopped,1/8/2025 5:36:30 PM,TimeLeft:98s
SCENARIO_walking_noavatar
Timestamp,MovementDeltaX,MovementDeltaY,MovementDeltaZ,TotalMovementDelta
1/8/2025 5:38:01 PM,0,0,0,0
1/8/2025 5:38:02 PM,0.8759766,1.630643,0.5773287,1.938979
1/8/2025 5:38:03 PM,-0.1046853,-0.05245185,-0.007852554,0.1173536
1/8/2025 5:38:04 PM,-0.005250931,-0.01148665,0.01248717,0.01776077
